"nav","nav_date","scheme_id","fund_house","scheme_name","pay_out","type","category","sub_category"
"10.3185","2018-01-31","141561","Sundaram Mutual Fund","Sundaram Select Small Cap Series VI Direct Plan - Growth","INF903JA1AV9","Close Ended Schemes "," Growth ",NULL
"10.5444","2018-01-31","141500","Sundaram Mutual Fund","Sundaram Select Small Cap Series V Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AQ9","Close Ended Schemes "," Growth ",NULL
"10.5444","2018-01-31","141501","Sundaram Mutual Fund","Sundaram Select Small Cap Series V Regular Plan - Growth","INF903JA1AP1","Close Ended Schemes "," Growth ",NULL
"10.608","2018-01-31","141498","Sundaram Mutual Fund","Sundaram Select Small Cap Series V Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1AS5","Close Ended Schemes "," Growth ",NULL
"10.608","2018-01-31","141499","Sundaram Mutual Fund","Sundaram Select Small Cap Series V Direct Plan - Growth","INF903JA1AR7","Close Ended Schemes "," Growth ",NULL
"15.1818","2018-01-31","134371","Sundaram Mutual Fund","Sundaram Select Small Cap Series IV - Regular Growth","INF903J018J1","Close Ended Schemes "," Growth ",NULL
"14.0469","2018-01-31","134372","Sundaram Mutual Fund","Sundaram Select Small Cap Series IV - Regular Dividend Payout","INF903J019J9","Close Ended Schemes "," Growth ",NULL
"15.3595","2018-01-31","134373","Sundaram Mutual Fund","Sundaram Select Small Cap Series IV - Direct Growth","INF903J010K6","Close Ended Schemes "," Growth ",NULL
"14.2216","2018-01-31","134374","Sundaram Mutual Fund","Sundaram Select Small Cap Series IV - Direct Dividend Payout","INF903J011K4","Close Ended Schemes "," Growth ",NULL
"15.2057","2018-01-31","134295","Sundaram Mutual Fund","Sundaram Select Small Cap Series III Regular Growth","INF903J016G1","Close Ended Schemes "," Growth ",NULL
"14.0732","2018-01-31","134296","Sundaram Mutual Fund","Sundaram Select Small Cap Series III Regular Dividend","INF903J017G9","Close Ended Schemes "," Growth ",NULL
"15.3975","2018-01-31","134297","Sundaram Mutual Fund","Sundaram Select Small Cap Series III Direct Growth","INF903J018G7","Close Ended Schemes "," Growth ",NULL
"14.2856","2018-01-31","134298","Sundaram Mutual Fund","Sundaram Select Small Cap Series III Direct Dividend","INF903J019G5","Close Ended Schemes "," Growth ",NULL
"15.3546","2018-01-31","132983","Sundaram Mutual Fund","Sundaram Select Small Cap Series II Regular Growth","INF903J01X66","Close Ended Schemes "," Growth ",NULL
"14.2242","2018-01-31","132984","Sundaram Mutual Fund","Sundaram Select Small Cap Series II Regular Dividend Payout","INF903J01X74","Close Ended Schemes "," Growth ",NULL
"15.6589","2018-01-31","132985","Sundaram Mutual Fund","Sundaram Select Small Cap Series II Direct Growth","INF903J01X82","Close Ended Schemes "," Growth ",NULL
"14.5257","2018-01-31","132986","Sundaram Mutual Fund","Sundaram Select Small Cap Series II Direct Dividend Payout","INF903J01X90","Close Ended Schemes "," Growth ",NULL
"10.511","2018-01-31","141872","Sundaram Mutual Fund","Sundaram Select Micro Cap Series XVII Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)","INF903JA1BG8","Close Ended Schemes "," Growth ",NULL
